ticker,interval,days,p1,p2,p3,GRAD1_BUY_Z_MIN,GRAD1_SELL_Z_MIN,GRAD1_BUY_WIN_DAYS,GRAD1_SELL_WIN_DAYS,SPACING_Z_MIN_12,SPACING_Z_MIN_23,SPACING_WIN_DAYS_12,SPACING_WIN_DAYS_23,MICRO_NRG_MODEL,MICRO_NRG_WIN_DAYS,MICRO_NRG_MIN_12,MICRO_NRG_MIN_23,PHASE_BUY_PORTIONS,PHASE_SELL_PORTIONS,FINAL_PORTION_PCT,COOLDOWN,MACRO_INTERVAL,MACRO_P1,MACRO_P2,MACRO_P3,MACRO_NRG_WIN_DAYS,MACRO_NRG_Z_MIN,MACRO_NRG_Z_MAX,MACRO_DYN_PCT_MIN,MACRO_DYN_PCT_MAX,MACRO_GRAD_WIN_DAYS,MACRO_GRAD_Z_MIN,MACRO_GRAD_Z_MAX,MACRO_MULT_GRAD_MIN,MACRO_MULT_GRAD_MAX,MACRO_BUY_MULT_BULL,MACRO_BUY_MULT_BEAR,MACRO_BUY_MULT_REV,MACRO_BUY_MULT_ROLL,MACRO_SELL_MULT_BULL,MACRO_SELL_MULT_BEAR,MACRO_SELL_MULT_REV,MACRO_SELL_MULT_ROLL,TAX_MODE,ANNUAL_INCOME_BASE,PROFIT_SWEEP_INTERVAL,PROFIT_SWEEP_SHARE,preTaxEdge,postTaxEdge,netPctVsHodl,simValue,simPostTax,benchValue,benchPostTax,trades,fees,tax,lockedProfit,potentialProfit,potentialProfitBench,netAfterTaxProfit,netAfterTaxProfitBench,grossEdgeVsBench,netEdgeVsBench,edgeVsBench,sharpe,sortino,mdd,cagr,sharpe4w,sortino4w,sharpe13w,sortino13w,sharpe4wAbs,sortino4wAbs,sharpe13wAbs,sortino13wAbs,scoreMetric
LINKUSDT,1h,820,12,20,55,0.4,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,10,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1775.752747,1538.034151,12.480432,11485.741228,10921.83697,9709.988481,9709.988481,50,77.422903,563.904258,0.0,1485.741228,-290.011519,1248.022632,-290.011519,1775.752747,1538.034151,1775.752747,0.537096,0.673576,0.400266,0.151784,0.945441,1.328912,0.79231,1.066055,0.827123,1.183899,0.407467,0.543716,1775.752747
LINKUSDT,1h,820,12,20,55,0.4,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,10,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,2040.813059,1760.684813,14.707803,11750.80154,11138.114428,9709.988481,9709.988481,49,76.085535,612.687112,0.0,1750.80154,-290.011519,1470.673294,-290.011519,2040.813059,1760.684813,2040.813059,0.575579,0.726178,0.400266,0.17871,1.030614,1.404186,0.790552,1.059459,0.788778,1.117003,0.412597,0.552983,2040.813059
LINKUSDT,1h,820,12,20,55,0.2,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1212.003856,1064.485082,7.040418,10921.992337,10393.61228,9709.988481,9709.988481,59,63.457354,528.380057,0.0,921.992337,-290.011519,774.473563,-290.011519,1212.003856,1064.485082,1212.003856,0.495844,0.648122,0.528094,0.094545,1.389656,1.905562,0.504791,0.589641,0.428339,0.601001,0.136522,0.180226,1212.003856
LINKUSDT,1h,820,12,20,55,0.2,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1444.146828,1259.485179,9.055982,11154.135309,10589.323304,9709.988481,9709.988481,60,66.14121,564.812005,0.0,1154.135309,-290.011519,969.47366,-290.011519,1444.146828,1259.485179,1444.146828,0.521544,0.68278,0.527889,0.118111,1.388601,1.89191,0.509454,0.595925,0.460143,0.658091,0.137815,0.182139,1444.146828
LINKUSDT,1h,820,12,20,55,0.4,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1777.826741,1539.776305,11.845467,11487.815222,10860.181922,9709.988481,9709.988481,57,64.486141,627.6333,0.0,1487.815222,-290.011519,1249.764786,-290.011519,1777.826741,1539.776305,1777.826741,0.560993,0.730521,0.501386,0.151995,1.387986,1.922946,0.791176,1.001938,0.516918,0.73099,0.190938,0.245435,1777.826741
LINKUSDT,1h,820,12,20,55,0.4,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,2017.267797,1740.906793,13.916438,11727.256278,11061.272972,9709.988481,9709.988481,58,67.308035,665.983306,0.0,1727.256278,-290.011519,1450.895274,-290.011519,2017.267797,1740.906793,2017.267797,0.587554,0.76643,0.501183,0.176318,1.387807,1.897816,0.791361,1.001935,0.557356,0.79708,0.19086,0.24741,2017.267797
LINKUSDT,1h,820,12,20,55,0.2,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,966.96385,858.651477,4.853895,10676.952331,10181.301131,9709.988481,9709.988481,56,57.826768,495.6512,0.0,676.952331,-290.011519,568.639958,-290.011519,966.96385,858.651477,966.96385,0.465265,0.605977,0.534507,0.069677,1.313443,1.823403,0.32764,0.392786,0.425307,0.58788,0.103406,0.132116,966.96385
LINKUSDT,1h,820,12,20,55,0.2,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1111.760394,980.280574,6.302124,10821.748875,10321.923966,9709.988481,9709.988481,57,60.239651,499.824909,0.0,821.748875,-290.011519,690.269055,-290.011519,1111.760394,980.280574,1111.760394,0.481899,0.627215,0.533952,0.084371,1.323657,1.851597,0.330032,0.392151,0.427731,0.587879,0.102944,0.133788,1111.760394
LINKUSDT,1h,820,12,20,55,0.4,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,2175.201661,1873.571238,15.210368,11885.190142,11186.913438,9709.988481,9709.988481,53,60.304264,698.276704,0.0,1885.190142,-290.011519,1583.559719,-290.011519,2175.201661,1873.571238,2175.201661,0.605385,0.790171,0.483796,0.192364,1.162059,1.648823,0.759955,1.013031,0.520794,0.730954,0.324682,0.452038,2175.201661
LINKUSDT,1h,820,12,20,55,0.4,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,2341.772723,2013.49093,16.877191,12051.761204,11348.761739,9709.988481,9709.988481,54,62.940347,702.999465,0.0,2051.761204,-290.011519,1723.479411,-290.011519,2341.772723,2013.49093,2341.772723,0.624295,0.814563,0.483167,0.209291,1.173378,1.668588,0.760004,1.014391,0.522452,0.745058,0.324626,0.452154,2341.772723
